Country,First Case Date,Hundreth Case Date,Fiftieth case per 1m Date,Days first 100,Days first fiftieth per 1m,
Afghanistan,24/02/2020,27/03/2020,30/04/2020,32,66,
Albania,08/03/2020,23/03/2020,25/03/2020,15,17,
Algeria,25/02/2020,21/03/2020,16/04/2020,25,51,
Andorra,02/03/2020,22/03/2020,15/03/2020,20,13,
Angola,20/03/2020,,,,,
Anguilla,26/03/2020,,26/03/2020,,0,
Antigua and Barbuda,13/03/2020,,27/03/2020,,14,
Argentina,03/03/2020,19/03/2020,13/04/2020,16,41,
Armenia,01/03/2020,18/03/2020,21/03/2020,17,20,
Aruba,13/03/2020,22/04/2020,19/03/2020,40,6,
Australia,25/01/2020,10/03/2020,22/03/2020,45,57,
Austria,25/02/2020,08/03/2020,13/03/2020,12,17,
Azerbaijan,28/02/2020,26/03/2020,04/04/2020,27,36,
Bahamas,15/03/2020,,01/04/2020,,17,
Bahrain,24/02/2020,09/03/2020,07/03/2020,14,12,
Bangladesh,08/03/2020,06/04/2020,01/05/2020,29,54,
Barbados,17/03/2020,,22/03/2020,,5,
Belarus,28/02/2020,30/03/2020,05/04/2020,31,37,
Belgium,04/02/2020,06/03/2020,14/03/2020,31,39,
Belize,23/03/2020,,,,,
Benin,16/03/2020,07/05/2020,,52,,
Bermuda,18/03/2020,25/04/2020,22/03/2020,38,4,
Bhutan,06/03/2020,,,,,
Bolivia,10/03/2020,31/03/2020,21/04/2020,21,42,
Bosnia and Herzegovina,05/03/2020,22/03/2020,24/03/2020,17,19,
Botswana,30/03/2020,,,,,
Brazil,25/02/2020,13/03/2020,05/04/2020,17,40,
British Virgin Islands,25/03/2020,,25/03/2020,,0,
Brunei,09/03/2020,24/03/2020,12/03/2020,15,3,
Bulgaria,07/03/2020,19/03/2020,30/03/2020,12,23,
Burkina Faso,09/03/2020,24/03/2020,,15,,
Burundi,31/03/2020,,,,,
Cabo Verde,20/03/2020,26/04/2020,15/04/2020,37,26,
Cambodia,27/01/2020,29/03/2020,,62,,
Cameroon,06/03/2020,29/03/2020,23/04/2020,23,48,
Canada,27/01/2020,11/03/2020,23/03/2020,44,56,
CAR,15/03/2020,08/05/2020,15/05/2020,54,61,
Caribbean Netherlands,01/04/2020,,01/04/2020,,0,
Cayman Islands,13/03/2020,,19/03/2020,,6,
Chad,19/03/2020,02/05/2020,,44,,
Channel Islands,09/03/2020,29/03/2020,19/03/2020,20,10,
Chile,03/03/2020,16/03/2020,25/03/2020,13,22,
China,31/12/2019,19/01/2020,17/02/2020,19,48,
Colombia,06/03/2020,19/03/2020,11/04/2020,13,36,
Congo,15/03/2020,15/04/2020,11/05/2020,31,57,
Costa Rica,05/03/2020,20/03/2020,27/03/2020,15,22,
Croatia,25/02/2020,19/03/2020,21/03/2020,23,25,
Cuba,11/03/2020,28/03/2020,11/04/2020,17,31,
Curaçao,13/03/2020,,27/03/2020,,14,
Cyprus,09/03/2020,23/03/2020,19/03/2020,14,10,
Czechia,01/03/2020,12/03/2020,19/03/2020,11,18,
Denmark,27/02/2020,10/03/2020,11/03/2020,12,13,
Djibouti,18/03/2020,08/04/2020,03/04/2020,21,16,
Dominica,22/03/2020,,24/03/2020,,2,
Dominican Republic,01/03/2020,21/03/2020,27/03/2020,20,26,
DRC,02/03/2020,21/03/2020,19/04/2020,19,48,
Ecuador,29/02/2020,17/03/2020,23/03/2020,17,23,
Egypt,14/02/2020,14/03/2020,29/04/2020,29,75,
El Salvador,19/03/2020,09/04/2020,28/04/2020,21,40,
Equatorial Guinea,14/03/2020,20/04/2020,17/04/2020,37,34,
Eritrea,21/03/2020,,,,,
Estonia,27/02/2020,14/03/2020,13/03/2020,16,15,
Eswatini,14/03/2020,30/04/2020,26/04/2020,47,43,
Ethiopia,13/03/2020,18/04/2020,,36,,
Faeroe Islands,04/03/2020,22/03/2020,06/03/2020,18,2,
Falkland Islands,03/04/2020,,03/04/2020,,0,
Fiji,19/03/2020,,,,,
Finland,29/01/2020,12/03/2020,16/03/2020,43,47,
France,27/12/2019,29/02/2020,13/03/2020,64,77,
French Guiana,07/03/2020,22/04/2020,17/03/2020,46,10,
French Polynesia,11/03/2020,,21/03/2020,,10,
Gabon,13/03/2020,17/04/2020,20/04/2020,35,38,
Gambia,17/03/2020,,,,,
Georgia,26/02/2020,30/03/2020,08/04/2020,33,42,
Germany,27/01/2020,01/03/2020,14/03/2020,34,47,
Ghana,12/03/2020,26/03/2020,26/04/2020,14,45,
Gibraltar,03/03/2020,05/04/2020,17/03/2020,33,14,
Greece,26/02/2020,12/03/2020,21/03/2020,15,24,
Greenland,16/03/2020,,22/03/2020,,6,
Grenada,22/03/2020,,26/03/2020,,4,
Guadeloupe,13/03/2020,28/03/2020,18/03/2020,15,5,
Guatemala,13/03/2020,10/04/2020,09/05/2020,28,57,
Guinea,13/03/2020,04/04/2020,21/04/2020,22,39,
Guinea-Bissau,25/03/2020,29/04/2020,29/04/2020,35,35,
Guyana,12/03/2020,10/05/2020,11/04/2020,59,30,
Haiti,20/03/2020,04/05/2020,,45,,
Honduras,11/03/2020,29/03/2020,21/04/2020,18,41,
Hong Kong,23/01/2020,01/03/2020,24/03/2020,38,61,
Hungary,04/03/2020,21/03/2020,31/03/2020,17,27,
Iceland,28/02/2020,12/03/2020,04/03/2020,13,5,
India,30/01/2020,14/03/2020,11/05/2020,44,102,
Indonesia,02/03/2020,15/03/2020,10/05/2020,13,69,
Iran,19/02/2020,26/02/2020,06/03/2020,7,16,
Iraq,22/02/2020,13/03/2020,30/04/2020,20,68,
Ireland,29/02/2020,14/03/2020,17/03/2020,14,17,
Isle of Man,19/03/2020,03/04/2020,22/03/2020,15,3,
Israel,21/02/2020,12/03/2020,18/03/2020,20,26,
Italy,31/01/2020,23/02/2020,04/03/2020,23,33,
Ivory Coast,11/03/2020,27/03/2020,01/05/2020,16,51,
Jamaica,10/03/2020,14/04/2020,18/04/2020,35,39,
Japan,16/01/2020,21/02/2020,11/04/2020,36,86,
